host_total_listings_count;accommodates;bedrooms;beds;price;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
2;4;4;5;800;5;1125;36;4.56;4.61;4.21;4.79;4.85;4.7;4.52;0.34
2;7;4;4;1320;2;1125;31;4.77;4.94;4.87;4.9;4.87;4.73;4.77;0.32
2;8;4;8;7500;3;1125;14;4.93;4.86;5.0;4.93;4.93;5.0;4.86;0.14
2;8;4;4;2466;2;30;16;4.69;4.67;4.27;5.0;4.93;4.67;4.33;0.16
2;6;4;6;893;5;1125;25;4.92;4.92;4.71;5.0;5.0;4.75;4.79;0.25
2;6;4;3;900;2;1125;22;5.0;5.0;4.86;5.0;5.0;4.62;4.76;0.22
2;6;4;5;1700;14;21;0;;;;;;;;
2;5;4;4;2418;5;25;70;4.76;4.65;4.46;4.91;4.88;4.96;4.59;0.73
2;8;4;4;4500;4;60;8;4.88;4.75;4.88;4.88;5.0;4.88;5.0;0.11
2;6;4;6;1100;7;1125;2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.02
2;6;4;4;1200;3;1125;10;5.0;5.0;4.89;5.0;5.0;5.0;4.89;0.12
2;8;4;4;2157;3;1125;31;4.57;4.63;4.4;4.83;4.7;4.7;4.73;0.33
2;6;4;6;1400;4;1125;9;5.0;5.0;4.89;4.89;4.89;4.89;4.89;0.1
2;10;4;5;5388;2;70;122;4.97;4.9;4.97;4.98;4.97;4.87;4.69;1.35
2;5;4;5;1279;3;14;67;4.54;4.83;4.18;4.97;4.93;4.61;4.64;0.77
2;6;4;5;999;4;1125;15;4.93;4.87;4.93;5.0;5.0;4.87;4.8;0.18
2;6;4;4;1230;5;20;19;4.89;4.89;4.37;5.0;5.0;4.72;4.89;0.22
2;6;4;6;2500;3;1125;48;4.88;4.96;4.61;4.9;4.93;5.0;4.72;0.57
2;6;4;9;1800;3;1125;22;5.0;4.95;5.0;4.95;5.0;4.95;4.81;0.27
2;6;4;4;1150;3;1125;5;4.4;5.0;4.5;4.5;4.8;4.6;3.8;0.06
2;7;4;4;1200;4;1125;27;4.96;4.84;5.0;4.84;4.8;4.8;4.84;0.33
2;6;4;4;1100;2;1125;28;4.86;4.93;4.61;4.96;4.93;4.85;4.81;0.36
2;8;4;5;3718;2;1125;126;4.92;4.91;4.82;4.71;4.83;4.98;4.75;1.62
